華語,台語漢字,台羅,,
外幣,外幣,guā-pè ,,
外幣,外國錢,guā-kok-tsînn ,,
美金,美金,Bí-kim,,
日幣,日本錢,Ji̍t-pún-tsînn,,
日幣,日本票,Ji̍t-pún-phiò,,
通貨膨脹,錢薄去,tsînn po̍h--khì ,,
通貨膨脹,通貨冗剩,thong-huè-liōng-siōng,,
通貨膨脹,通貨膨脹,thong-huè-phòng-tiùnn/thong-huè-phòng-tiòng,,
自動櫃員機,自動櫃員機,tsū-tōng-kuī-uân-ki,,
自動櫃員機,自動櫃台機,tsū-tōng-kuī-tâi-ki,,
自動櫃員機,無人銀行,bô-lâng-gîn-hâng,,
道瓊工業指數,道瓊工業指數,Tō-khîng kang-gia̍p-tsí-sòo,,
道瓊工業指數,Dow Jones工業指數,Dow Jones kang-gia̍p-tsí-sòo,,
道瓊工業指數,Táu-tsiòng-suh工業指數,Táu-tsiòng-suh kang-gia̍p-tsí-sòo,,
三大法人,三大法人,sann-tuā-huat-jîn,,
數位支付,數位支付,sòo-uī-tsi-hù,,
數位支付,數位Pay,sòo-uī-phé,,
數位支付,手機仔納錢,tshiú-ki-á la̍p-tsînn,,
數位支付,電腦納錢,tiān-náu la̍p-tsînn,,
熱錢,熱錢,jia̍t-tsînn,,
精算師,精算師,tsing-suàn-su,,
套牢,著吊,tio̍h-tiàu,,
套牢,錢牢咧,tsînn tiâu--leh,,
套牢,套牢,thò-tiâu,,
擠兌,相爭領,sio-tsenn-niá,,
擠兌,搶兌,tshiúnn-tuī,,
擠兌,起錢反,khí-tsînn-huán,,
貶值,錢落價,tsînn lo̍h-kè,,
貶值,錢無價,tsînn bô-kè,,
貶值,落錢聲,lak tsînn-siann,,
贖回,贖回,sio̍k-huê,,
交割,交割,kau-kuah,,
零股,零星股,lân-san-kóo,,
面值,票面價值,phiò-bīn-kè-ta̍t,,
洗錢,洗錢,sé-tsînn,,
銀根,銀根,gîn-kin,,
銀根,錢根,tsînn-kin,,
頭寸,頭寸,thâu-tshùn,,
透支,過額,kuè-gia̍h,,
大盤,大盤,tuā-puânn,,
牛市,牛市,gû-tshī,,
熊市,熊市,hîm-tshī,,
多頭,多頭,to-thâu,,
多頭,食市,tsia̍h-tshī,,
多頭,熱市,jia̍t-tshī,,
多頭,看起,khuànn-khí,,
空頭,空頭,khang-thâu,,
空頭,敗市,pāi-tshī,,
空頭,凊市,tshìn-tshī,,
空頭,看落,khuànn-lo̍h,,
行動科技,行動科技,hîng-tōng-kho-ki,,
開放資料,開放資料,khai-hòng-tsu-liāu,,
搜尋引擎,搜揣ia̋n-jín,tshiau-tshuē-ia̋n-jín,,
大數據,大資料,tuā-tsu-liāu,,
區塊鏈,角仔鏈,kak-á-liān,,
區塊鏈,Blockchain,pu-lak-tshián,,
去中心化,去中心化,khì-tiong-sim-huà,,
加密貨幣,暗號貨幣,àm-hō-huè-pè,,
加密貨幣,暗號錢,àm-hō-tsînn,,
加密貨幣,暗碼貨幣,àm-bé-huè-pè,,
加密貨幣,暗碼錢,àm-bé-tsînn,,
比特幣,必箍銀,Pit-khoo-gîn,,
比特幣,Bitcoin,Pit-khóo-ìn,,
匿名化,藏名化,tshàng-miâ-huà,,
匿名化,無名化,bô-miâ-huà,,
雲端運算,雲頂運算,hûn-tíng-ūn-suàn,,
雲端運算,雲頂運算,hûn-tíng-ūn-sǹg,,
資料庫,資料庫,tsu-liāu-khòo,,
人工智慧,人工智慧,jîn-kang-tì-huī,,
深度學習,深度學習,tshim-tōo-ha̍k-si̍p,,
深度學習,深層學習,tshim-tsân-ha̍k-si̍p,,
使用者體驗,使用者體驗,sú-iōng-tsiá thé-giām,,
物聯網,物聯網,bu̍t-liân-bāng,,
物聯網,物際網路,bu̍t-tsè-bāng-lōo,,
演算法,演算法,ián-sǹg-huat,,
新創公司,新創公司,sin-tshòng-kong-si,,
新創公司,新起事業,sin-khí-sū-gia̍p,,
新創公司,新創仔,sin-tshòng-á,,
新創公司,新創的,sin-tshòng--ê,,
孵化器,卵孵仔,nn̄g-pū-á,,
孵化器,孵卵的,pū-nn̄g--ê,,
加速器,催速仔,tsui-sok-á,,
加速器,催速的,tsui-sok--ê,,
天使投資人,天使投資人,thinn-sài tâu-tsu-jîn,,
群眾募資,傱眾人錢,tsông-tsìng-lâng-tsînn,,
群眾募資,大眾傱錢,tāi-tsiòng tsông-tsînn,,
共享辦公室,公家辦公室,kong-ke-pān-kong-sik,,
共享辦公室,箍倚辦公室,khoo-uá-pān-kong-sik,,
虛擬實境,假現實,ké-hiān-si̍t,,
擴增實境,加現實,ke-hiān-si̍t,,
混合實境,濫現實,lām-hiān-si̍t,,
跨境電商,迒境電商,hānn-kíng-tiān-siong,,
跨境電商,過境電商,kuè-kíng-tiān-siong,,
法人,法人,huat-jîn,,
標準差,標準差,piau-tsún-tsha,,
標準差,標準偏差,piau-tsún-phian-tsha,,
直效行銷,直接行銷,ti̍t-tsiap hîng-siau,,
躉繳,總納,tsóng-la̍p,,
躉繳,躉納,tún-la̍p,,
連續競價,連紲比價,liân-suà-pí-kè,,
去槓桿化,清撬仔數,tshing-kiāu-á-siàu,,
去槓桿化,抽數撬仔,thiu-siàu-kiāu-á,,
槓桿交易,撬仔買賣,kiāu-á-bé-bē,,
停滯性通貨膨脹,死水通貨冗剩,sí-tsuí thong-huè liōng-siōng,,
滯脹,死膨,sí-phòng,,
二級市場,二級市場,jī-kip-tshī-tiûnn,,
次級市場,次級市場,tshù-kip-tshī-tiûnn,,
集中市場,集中市場,tsi̍p-tiong-tshī-tiûnn,,
現貨市場,便貨市場,piān-huè tshī-tiûnn,,
影子銀行,烏影銀行,oo-iánn-gîn-hâng,,
影子銀行,影銀行,iánn-gîn-hâng,,
鍋爐室騙局,火鼎間騙局,hué-tiánn-king phiàn-kio̍k,,
綠皮書,綠皮書,li̍k-phuê-su,,
授信,授信,siū-sìn,,
回檔,回檔,huê-tóng,,
回檔,修正,siu-tsìng,,
盤整,盤整,puânn-tsíng,,
盤整,整匯,tsíng-huē,,
空殼公司,空殼公司,khang-khak-kong-si,,
借殼上市,借殼上市,tsioh-khak tsiūnn-tshī,,
公債,公債,kong-tsè,,
衍生性金融商品,湠生性金融商品,thuànn-sing-sìng kim-iông-siong-phín,,
衍生性金融商品,派生性金融商品,phài-sing-sìng kim-iông-siong-phín,,
指數型基金,指數型基金,tsí-sòo-hîng ki-kim,,
權證,認股證,jīn-kóo-tsìng,,
權證,權證,khuân-tsìng,,
選擇權,選擇權,suán-ti̍k-khuân,,
次級房貸,二路厝貸,jī-lōo-tshù-tāi,,
保本基金,保本基金,pó-pún ki-kim,,
交叉持股,相份股,sio-hūn-kóo,,
複利,複利,ho̍k-lī,,
毛利率,毛利率,môo-lī-lu̍t,,
殖利率,殖利率,si̍t-lī-lu̍t,,
殖利率,現金股利率,hiān-kim kóo-lī-lu̍t,,
投資報酬率,投資回報率,tâu-tsu huê-pò-lu̍t,,
折現率,轉現率,tńg-hiān-lu̍t,,
折現率,轉現金率,tńg-hiān-kim-lu̍t,,